Velocity Conversion: Feet per Second (fps) to Millimeters per Second (mm/s)
================================================================================

       FPS |            MM/S |   Meters/Second
--------------------------------------------------------------------------------
    2050.0 |        624840.0 |          624.84
    1450.0 |        441960.0 |          441.96
    1070.0 |        326136.0 |          326.14
    2100.0 |        640080.0 |          640.08
    1531.0 |        466648.8 |          466.65
    1133.0 |        345338.4 |          345.34
    2525.0 |        769620.0 |          769.62
    1830.0 |        557784.0 |          557.78
    1291.0 |        393496.8 |          393.50
    2550.0 |        777240.0 |          777.24
    1902.0 |        579729.6 |          579.73
    1379.0 |        420319.2 |          420.32
    2375.0 |        723900.0 |          723.90
    1755.0 |        534924.0 |          534.92
    1274.0 |        388315.2 |          388.32
    3000.0 |        914400.0 |          914.40
    2504.0 |        763219.2 |          763.22
    2058.0 |        627278.4 |          627.28
    3650.0 |       1112520.0 |         1112.52
    3077.0 |        937869.6 |          937.87
    2574.0 |        784555.2 |          784.56
    2122.0 |        646785.6 |          646.79
    1721.0 |        524560.8 |          524.56
    1383.0 |        421538.4 |          421.54
    4400.0 |       1341120.0 |         1341.12
    3667.0 |       1117701.6 |         1117.70
    3046.0 |        928420.8 |          928.42
    2504.0 |        763219.2 |          763.22
    2023.0 |        616610.4 |          616.61
    1604.0 |        488899.2 |          488.90
    4225.0 |       1287780.0 |         1287.78
    3645.0 |       1110996.0 |         1111.00
    3137.0 |        956157.6 |          956.16
    2685.0 |        818388.0 |          818.39
    2275.0 |        693420.0 |          693.42
    1903.0 |        580034.4 |          580.03
    3900.0 |       1188720.0 |         1188.72
    3482.0 |       1061313.6 |         1061.31
    3104.0 |        946099.2 |          946.10
    2757.0 |        840333.6 |          840.33
    2435.0 |        742188.0 |          742.19
    2136.0 |        651052.8 |          651.05
    2200.0 |        670560.0 |          670.56
    1454.0 |        443179.2 |          443.18
    1026.0 |        312724.8 |          312.72
    3070.0 |        935736.0 |          935.74
    2247.0 |        684885.6 |          684.89
    1574.0 |        479755.2 |          479.76
    1117.0 |        340461.6 |          340.46
     918.0 |        279806.4 |          279.81
     802.0 |        244449.6 |          244.45
    2665.0 |        812292.0 |          812.29
    2241.0 |        683056.8 |          683.06
    1858.0 |        566318.4 |          566.32
    1523.0 |        464210.4 |          464.21
    1252.0 |        381609.6 |          381.61
    1071.0 |        326440.8 |          326.44
    2750.0 |        838200.0 |          838.20
    1974.0 |        601675.2 |          601.68
    1362.0 |        415137.6 |          415.14
    1019.0 |        310591.2 |          310.59
     867.0 |        264261.6 |          264.26
     763.0 |        232562.4 |          232.56
    3760.0 |       1146048.0 |         1146.05
    3148.0 |        959510.4 |          959.51
    2615.0 |        797052.0 |          797.05
    2140.0 |        652272.0 |          652.27
    1719.0 |        523951.2 |          523.95
    1369.0 |        417271.2 |          417.27
    3345.0 |       1019556.0 |         1019.56
    2930.0 |        893064.0 |          893.06
    2553.0 |        778154.4 |          778.15
    2205.0 |        672084.0 |          672.08
    1886.0 |        574852.8 |          574.85
    1599.0 |        487375.2 |          487.38
    2810.0 |        856488.0 |          856.49
    2495.0 |        760476.0 |          760.48
    2202.0 |        671169.6 |          671.17
    1929.0 |        587959.2 |          587.96
    1679.0 |        511759.2 |          511.76
    1457.0 |        444093.6 |          444.09
    4000.0 |       1219200.0 |         1219.20
    3353.0 |       1021994.4 |         1021.99
    2796.0 |        852220.8 |          852.22
    2302.0 |        701649.6 |          701.65
    1861.0 |        567232.8 |          567.23
    1483.0 |        452018.4 |          452.02
    3465.0 |       1056132.0 |         1056.13
    3106.0 |        946708.8 |          946.71
    2776.0 |        846124.8 |          846.12
    2470.0 |        752856.0 |          752.86
    2183.0 |        665378.4 |          665.38
    1916.0 |        583996.8 |          584.00
    3250.0 |        990600.0 |          990.60
    2849.0 |        868375.2 |          868.38
    2482.0 |        756513.6 |          756.51
    2144.0 |        653491.2 |          653.49
    1834.0 |        559003.2 |          559.00
    1557.0 |        474573.6 |          474.57
    3240.0 |        987552.0 |          987.55
    2690.0 |        819912.0 |          819.91
    2201.0 |        670864.8 |          670.86
    1768.0 |        538886.4 |          538.89
    3240.0 |        987552.0 |          987.55
    2802.0 |        854049.6 |          854.05
    2405.0 |        733044.0 |          733.04
    2042.0 |        622401.6 |          622.40
    1713.0 |        522122.4 |          522.12
    1429.0 |        435559.2 |          435.56
    3240.0 |        987552.0 |          987.55
    2855.0 |        870204.0 |          870.20
    2502.0 |        762609.6 |          762.61
    2175.0 |        662940.0 |          662.94
    1873.0 |        570890.4 |          570.89
    1602.0 |        488289.6 |          488.29
    3100.0 |        944880.0 |          944.88
    2751.0 |        838504.8 |          838.50
    2428.0 |        740054.4 |          740.05
    2127.0 |        648309.6 |          648.31
    1849.0 |        563575.2 |          563.58
    1597.0 |        486765.6 |          486.77
    2790.0 |        850392.0 |          850.39
    2563.0 |        781202.4 |          781.20
    2348.0 |        715670.4 |          715.67
    2143.0 |        653186.4 |          653.19
    1949.0 |        594055.2 |          594.06
    1766.0 |        538276.8 |          538.28
    2790.0 |        850392.0 |          850.39
    2448.0 |        746150.4 |          746.15
    2131.0 |        649528.8 |          649.53
    1839.0 |        560527.2 |          560.53
    2790.0 |        850392.0 |          850.39
    2562.0 |        780897.6 |          780.90
    2345.0 |        714756.0 |          714.76
    2139.0 |        651967.2 |          651.97
    1943.0 |        592226.4 |          592.23
    1759.0 |        536143.2 |          536.14
    2930.0 |        893064.0 |          893.06
    2695.0 |        821436.0 |          821.44
    2471.0 |        753160.8 |          753.16
    2259.0 |        688543.2 |          688.54
    2057.0 |        626973.6 |          626.97
    1866.0 |        568756.8 |          568.76
    3175.0 |        967740.0 |          967.74
    2781.0 |        847648.8 |          847.65
    2420.0 |        737616.0 |          737.62
    2086.0 |        635812.8 |          635.81
    1781.0 |        542848.8 |          542.85
    1511.0 |        460552.8 |          460.55
    3060.0 |        932688.0 |          932.69
    2714.0 |        827227.2 |          827.23
    2394.0 |        729691.2 |          729.69
    2095.0 |        638556.0 |          638.56
    1820.0 |        554736.0 |          554.74
    1571.0 |        478840.8 |          478.84
    2910.0 |        886968.0 |          886.97
    2676.0 |        815644.8 |          815.64
    2453.0 |        747674.4 |          747.67
    2242.0 |        683361.6 |          683.36
    2041.0 |        622096.8 |          622.10
    1851.0 |        564184.8 |          564.18
    2310.0 |        704088.0 |          704.09
    1695.0 |        516636.0 |          516.64
    1654.0 |        504139.2 |          504.14
    1387.0 |        422757.6 |          422.76
    1179.0 |        359359.2 |          359.36
    1042.0 |        317601.6 |          317.60
    3300.0 |       1005840.0 |         1005.84
    2924.0 |        891235.2 |          891.24
    2578.0 |        785774.4 |          785.77
    2258.0 |        688238.4 |          688.24
    1961.0 |        597712.8 |          597.71
    1690.0 |        515112.0 |          515.11
    3000.0 |        914400.0 |          914.40
    2761.0 |        841552.8 |          841.55
    2534.0 |        772363.2 |          772.36
    2319.0 |        706831.2 |          706.83
    2114.0 |        644347.2 |          644.35
    1920.0 |        585216.0 |          585.22
    2675.0 |        815340.0 |          815.34
    2513.0 |        765962.4 |          765.96
    2356.0 |        718108.8 |          718.11
    2205.0 |        672084.0 |          672.08
    2060.0 |        627888.0 |          627.89
    1920.0 |        585216.0 |          585.22
    4450.0 |       1356360.0 |         1356.36
    3736.0 |       1138732.8 |         1138.73
    3128.0 |        953414.4 |          953.41
    2598.0 |        791870.4 |          791.87
    2125.0 |        647700.0 |          647.70
    1706.0 |        519988.8 |          519.99
    3800.0 |       1158240.0 |         1158.24
    3339.0 |       1017727.2 |         1017.73
    2925.0 |        891540.0 |          891.54
    2548.0 |        776630.4 |          776.63
    2201.0 |        670864.8 |          670.86
    1882.0 |        573633.6 |          573.63
    4000.0 |       1219200.0 |         1219.20
    3517.0 |       1071981.6 |         1071.98
    3086.0 |        940612.8 |          940.61
    2696.0 |        821740.8 |          821.74
    2337.0 |        712317.6 |          712.32
    2006.0 |        611428.8 |          611.43
    3680.0 |       1121664.0 |         1121.66
    3253.0 |        991514.4 |          991.51
    2868.0 |        874166.4 |          874.17
    2514.0 |        766267.2 |          766.27
    2186.0 |        666292.8 |          666.29
    1884.0 |        574243.2 |          574.24
    3680.0 |       1121664.0 |         1121.66
    3253.0 |        991514.4 |          991.51
    2868.0 |        874166.4 |          874.17
    2514.0 |        766267.2 |          766.27
    2186.0 |        666292.8 |          666.29
    1884.0 |        574243.2 |          574.24
    2800.0 |        853440.0 |          853.44
    2623.0 |        799490.4 |          799.49
    2452.0 |        747369.6 |          747.37
    2288.0 |        697382.4 |          697.38
    2130.0 |        649224.0 |          649.22
    1979.0 |        603199.2 |          603.20
    2750.0 |        838200.0 |          838.20
    2580.0 |        786384.0 |          786.38
    2417.0 |        736701.6 |          736.70
    2260.0 |        688848.0 |          688.85
    2108.0 |        642518.4 |          642.52
    1963.0 |        598322.4 |          598.32
    2750.0 |        838200.0 |          838.20
    2582.0 |        786993.6 |          786.99
    2421.0 |        737920.8 |          737.92
    2265.0 |        690372.0 |          690.37
    2115.0 |        644652.0 |          644.65
    1971.0 |        600760.8 |          600.76
    3925.0 |       1196340.0 |         1196.34
    3465.0 |       1056132.0 |         1056.13
    3052.0 |        930249.6 |          930.25
    2676.0 |        815644.8 |          815.64
    2330.0 |        710184.0 |          710.18
    2010.0 |        612648.0 |          612.65
    3580.0 |       1091184.0 |         1091.18
    3254.0 |        991819.2 |          991.82
    2953.0 |        900074.4 |          900.07
    2672.0 |        814425.6 |          814.43
    2407.0 |        733653.6 |          733.65
    2158.0 |        657758.4 |          657.76
    3200.0 |        975360.0 |          975.36
    2842.0 |        866241.6 |          866.24
    2513.0 |        765962.4 |          765.96
    2206.0 |        672388.8 |          672.39
    1921.0 |        585520.8 |          585.52
    1661.0 |        506272.8 |          506.27
    2800.0 |        853440.0 |          853.44
    2574.0 |        784555.2 |          784.56
    2359.0 |        719023.2 |          719.02
    2155.0 |        656844.0 |          656.84
    1961.0 |        597712.8 |          597.71
    1778.0 |        541934.4 |          541.93
    3240.0 |        987552.0 |          987.55
    2990.0 |        911352.0 |          911.35
    2754.0 |        839419.2 |          839.42
    2530.0 |        771144.0 |          771.14
    2317.0 |        706221.6 |          706.22
    2114.0 |        644347.2 |          644.35
    3150.0 |        960120.0 |          960.12
    2911.0 |        887272.8 |          887.27
    2685.0 |        818388.0 |          818.39
    2469.0 |        752551.2 |          752.55
    2264.0 |        690067.2 |          690.07
    2069.0 |        630631.2 |          630.63
    3185.0 |        970788.0 |          970.79
    2908.0 |        886358.4 |          886.36
    2649.0 |        807415.2 |          807.42
    2404.0 |        732739.2 |          732.74
    2172.0 |        662025.6 |          662.03
    1953.0 |        595274.4 |          595.27
    2960.0 |        902208.0 |          902.21
    2729.0 |        831799.2 |          831.80
    2509.0 |        764743.2 |          764.74
